SID,Language,Visual,Auditory,Tactile,Motor,Gustatory,Olfactory,Sensory,Total,Age,Gender,AOA,Speaking ENGLISH,Listening to ENGLISH,Reading ENGLISH,Writing ENGLISH,Speaking SPANISH,Listening to SPANISH,Reading SPANISH,Writing SPANISH
340,1,6.60,4.80,6.00,6.00,6.00,6.00,5.80,5.89,19,2,12,7,7,7,7,5,6,6,6
341,1,6.80,6.40,7.00,7.00,7.00,5.50,7.00,6.64,21,2,16,7,7,7,7,6,6,6,7
342,1,3.80,6.00,5.20,5.80,4.00,3.80,6.20,4.97,19,2,13,7,7,7,7,6,5,5,5
343,1,6.00,6.80,6.00,5.75,6.75,5.33,6.25,6.18,21,1,16,7,7,7,7,6,6,7,6
344,1,7.00,5.60,6.20,7.00,6.80,6.00,7.00,6.51,21,2,6,7,7,7,7,7,7,6,6
345,1,6.40,5.80,5.20,6.80,4.80,4.40,6.00,5.63,22,2,15,7,7,7,7,6,5,6,6
346,1,6.00,5.00,5.00,6.40,5.80,5.80,5.40,5.63,19,2,14,7,7,7,7,5,5,6,5
347,1,6.00,4.50,5.00,6.50,7.00,5.75,7.00,6.20,20,2,14,7,7,7,7,4,6,6,6
348,1,6.80,6.40,6.50,3.80,6.00,5.25,4.40,5.52,20,1,11,7,7,7,7,4,6,6,5
349,1,5.60,5.67,7.00,4.80,7.00,5.20,6.00,5.75,20,2,12,7,7,7,7,5,5,6,6
350,1,3.80,4.80,5.20,5.60,6.00,5.00,5.60,5.14,23,2,19,7,7,7,7,5,7,6,6
351,1,7.00,6.75,7.00,7.00,7.00,5.00,7.00,6.69,21,2,17,7,7,7,7,6,6,6,7
352,1,5.20,6.50,7.00,7.00,6.00,6.20,7.00,6.31,22,2,6,7,7,7,7,5,6,4,4
353,1,5.80,5.20,2.33,4.00,7.00,4.60,6.50,5.19,19,2,13,7,7,7,7,3,4,4,4
355,1,6.40,6.20,6.00,6.80,7.00,6.80,6.60,6.54,18,2,14,7,7,7,7,5,5,5,5
357,1,5.80,5.40,6.00,5.00,5.40,5.60,5.40,5.51,18,2,13,6,6,6,6,5,5,5,5
358,1,6.00,5.60,6.40,5.80,6.80,5.40,6.20,6.03,22,2,16,7,7,7,7,3,4,4,3
359,1,5.60,5.60,6.00,5.00,5.00,4.67,5.80,5.39,21,2,11,7,7,7,7,4,5,5,5
360,1,6.00,5.25,6.50,6.33,7.00,5.67,6.50,6.16,21,2,20,7,7,7,7,5,6,6,5
361,1,5.80,4.50,7.00,5.25,7.00,6.25,7.00,6.04,21,2,15,7,7,7,7,4,6,6,6
362,1,5.40,6.00,6.00,5.80,5.20,5.80,6.00,5.74,20,2,11,7,7,7,7,5,5,6,4
363,1,6.00,6.40,5.00,6.00,6.60,5.60,7.00,6.09,20,1,14,7,7,7,7,5,6,6,5
364,1,5.60,5.60,6.60,5.80,6.80,5.40,6.40,6.03,29,2,18,7,6,7,7,5,6,7,6
365,1,7.00,6.00,7.00,7.00,6.80,5.60,6.80,6.61,20,2,5,7,7,7,7,5,7,6,3
366,1,6.00,6.25,6.67,5.00,4.80,6.60,6.00,5.84,27,2,26,7,7,7,7,4,4,5,5
367,1,5.80,6.40,7.00,6.40,5.80,5.20,6.60,6.15,23,2,22,7,7,7,7,5,6,6,6
368,1,6.20,4.60,5.60,5.00,5.60,5.60,5.60,5.46,20,2,17,7,7,7,7,6,6,6,5
369,1,6.00,6.80,5.60,6.40,6.20,5.20,6.20,6.06,31,1,6,6,7,7,6,6,6,6,6
370,1,6.20,5.80,6.60,6.00,6.20,6.00,6.00,6.11,20,2,4,7,7,7,7,6,6,6,6
371,1,5.60,6.40,5.60,6.60,6.20,5.80,4.40,5.80,0,2,12,7,7,7,7,4,6,5,6
372,1,5.00,6.00,5.20,5.80,4.00,5.40,5.40,5.26,20,1,13,7,7,7,7,5,6,6,6
373,1,4.60,7.00,6.50,6.20,5.80,5.25,6.75,5.97,21,1,12,7,7,7,7,5,5,6,5
374,1,7.00,6.40,7.00,6.75,7.00,5.00,7.00,6.60,21,2,11,7,7,7,7,5,6,5,5
375,1,6.20,6.80,6.80,5.80,6.40,3.80,6.60,6.06,25,2,17,7,7,7,7,6,6,6,6
376,1,4.60,5.60,5.00,5.20,4.80,4.40,5.20,4.97,21,1,14,7,7,7,7,6,5,5,5
166,0,6.00,6.80,6.60,6.60,6.60,5.60,6.00,6.31,20,2,0,7,7,7,7,3,6,6,4
167,0,6.40,6.00,6.60,6.20,5.80,4.80,6.00,5.97,31,2,14,7,7,7,7,4,5,5,3
168,0,6.80,6.80,6.80,7.00,6.60,5.60,6.80,6.63,35,2,12,6,7,7,6,3,5,3,1
169,0,6.00,6.80,7.00,6.60,7.00,6.40,6.80,6.66,44,2,18,7,7,7,7,5,6,6,3
170,0,6.20,6.60,5.60,6.60,6.80,6.00,6.60,6.34,36,1,9,7,7,7,7,6,6,7,6
172,0,5.40,5.60,4.80,4.80,4.00,2.20,5.20,4.57,41,2,14,7,7,7,7,5,6,6,5
174,0,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,59,2,12,7,7,7,7,6,7,7,6
175,0,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,61,1,25,7,7,7,7,6,5,6,4
176,0,4.40,4.40,5.20,5.80,5.40,4.20,4.20,4.80,19,2,17,7,7,7,7,3,5,5,5
178,0,5.40,5.40,5.40,6.00,6.20,6.60,5.80,5.83,31,2,15,7,7,7,7,6,5,6,5
179,0,7.00,6.40,6.60,6.80,7.00,5.20,6.20,6.46,25,2,15,7,7,7,7,6,5,6,6
180,0,6.40,6.80,6.80,6.60,7.00,6.60,5.80,6.57,31,1,13,7,7,7,7,5,7,7,7
181,0,5.60,6.00,6.40,5.20,5.80,6.80,6.00,5.97,52,2,15,7,7,7,7,3,3,4,2
183,0,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,47,2,47,7,7,7,7,4,1,4,3
184,0,5.60,5.80,4.80,6.60,6.40,5.00,5.80,5.71,40,1,14,7,7,7,7,5,5,3,2
186,0,6.40,5.20,5.40,6.60,4.00,4.40,6.80,5.54,18,2,12,7,7,7,7,1,2,4,3
187,0,6.60,6.40,5.40,6.80,6.00,4.60,3.80,5.66,18,2,14,7,7,7,7,3,1,1,2
189,0,6.20,6.60,6.40,6.60,6.20,5.00,6.40,6.20,33,1,13,7,7,7,7,6,5,6,5
190,0,6.20,6.40,6.40,7.00,6.60,6.60,6.60,6.54,18,1,16,7,7,6,5,3,4,3,2
191,0,5.00,5.80,5.00,5.40,5.20,4.00,6.40,5.26,27,2,15,1,7,7,6,4,4,4,2
192,0,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,30,1,10,6,7,7,7,6,6,6,5
193,0,5.00,5.80,5.60,5.80,5.80,5.20,5.80,5.57,33,1,11,6,6,6,6,5,5,5,5
195,0,6.20,6.40,6.00,6.80,5.40,5.20,6.60,6.09,32,2,18,7,7,7,7,6,6,5,4
196,0,5.40,5.80,5.60,5.20,5.80,6.40,6.40,5.80,38,2,35,7,7,7,7,4,3,5,3
197,0,5.40,4.60,5.00,5.40,6.40,2.20,7.00,5.14,24,1,15,7,7,7,7,4,4,4,3
198,0,6.80,7.00,5.20,6.20,6.80,6.40,6.00,6.34,25,2,19,7,7,7,7,6,5,6,6
200,0,6.20,7.00,6.20,6.80,7.00,5.40,6.80,6.49,41,2,21,7,7,7,7,4,3,5,5
201,0,6.40,6.60,6.20,6.80,6.00,4.20,7.00,6.17,28,2,8,7,7,7,7,5,6,6,5
202,0,6.00,6.60,5.60,6.20,6.40,6.20,6.80,6.26,18,2,8,6,6,6,6,6,6,5,5
203,0,5.20,5.80,5.20,5.80,5.60,6.00,5.20,5.54,62,2,16,7,7,7,7,4,4,5,2
205,0,6.00,6.00,6.20,6.80,5.40,5.60,7.00,6.14,25,2,11,7,7,7,7,2,5,5,4
206,0,5.60,5.20,6.20,6.00,6.20,6.60,6.80,6.09,23,2,15,7,7,7,7,2,4,7,6
207,0,6.20,6.60,7.00,6.80,7.00,7.00,6.40,6.71,28,2,15,7,7,7,7,2,4,6,4
208,0,7.00,6.00,6.00,5.60,6.00,7.00,7.00,6.37,42,2,13,7,7,7,7,5,7,7,7
209,0,5.40,6.80,6.40,6.40,6.80,6.20,5.60,6.23,65,2,15,7,7,7,7,3,3,2,2
210,0,6.20,5.40,6.80,6.00,5.80,3.20,4.80,5.46,19,2,14,7,7,7,7,4,3,5,3
212,0,5.40,7.00,6.60,7.00,7.00,6.80,7.00,6.69,23,2,15,7,7,7,7,4,5,6,4
214,0,5.80,5.60,6.40,5.60,4.60,5.60,5.40,5.57,19,2,14,7,7,7,7,5,5,6,5
215,0,5.20,5.40,5.60,5.80,5.60,4.60,4.80,5.29,26,2,12,7,7,7,7,4,5,5,4
216,0,5.00,6.80,6.40,7.00,6.60,1.00,6.80,5.66,62,2,4,7,7,7,7,6,6,7,6
218,0,6.00,4.80,5.80,5.60,3.40,2.60,7.00,5.03,19,2,15,7,7,7,7,3,4,5,5
219,0,6.60,6.40,6.60,6.40,6.60,6.40,7.00,6.57,29,1,13,7,7,7,7,7,6,6,5
220,0,6.00,4.80,6.00,6.00,6.00,5.00,7.00,5.83,34,2,15,7,7,7,7,5,5,6,4
221,0,5.40,6.60,6.60,6.80,7.00,6.60,6.00,6.43,44,1,20,7,7,7,7,6,6,5,5
222,0,5.80,7.00,7.00,7.00,7.00,7.00,6.60,6.77,40,2,14,7,7,7,7,5,5,5,3
223,0,7.00,6.00,5.00,6.00,5.60,3.40,6.60,5.66,25,1,12,7,7,7,7,5,5,5,5
224,0,4.40,5.60,5.20,6.00,5.00,4.20,5.80,5.17,59,2,9,7,7,7,7,5,4,6,6
225,0,6.00,6.80,5.80,5.80,5.80,5.20,6.80,6.03,44,2,25,7,7,7,7,6,6,6,5
226,0,7.00,7.00,7.00,6.80,7.00,6.40,7.00,6.89,22,2,13,7,7,7,7,5,5,6,4
227,0,6.00,5.20,4.80,5.00,5.00,4.60,4.60,5.03,34,1,18,6,6,7,6,6,6,5,5
228,0,6.60,7.00,7.00,6.40,6.00,3.00,7.00,6.14,43,2,14,7,7,7,7,3,4,4,5
229,0,7.00,6.60,6.80,7.00,6.80,6.20,6.40,6.69,39,2,22,7,7,7,7,6,7,7,6
230,0,7.00,7.00,7.00,7.00,7.00,5.80,7.00,6.83,28,2,16,7,7,7,7,5,4,6,5
231,0,5.60,6.80,6.40,6.60,6.80,6.40,6.20,6.40,36,2,13,7,7,7,6,5,6,7,6
232,0,6.60,6.80,7.00,6.20,5.80,6.00,6.80,6.46,61,2,12,7,7,7,7,6,5,6,7
233,0,5.80,5.40,5.60,5.00,5.60,4.60,6.60,5.51,21,2,14,5,7,7,7,5,5,5,5
234,0,5.60,6.60,5.60,6.80,5.40,4.00,6.60,5.80,20,2,12,7,7,7,7,4,4,6,5
235,0,5.00,6.40,6.00,6.20,6.00,5.00,6.60,5.89,19,2,14,7,7,7,7,5,6,5,6
236,0,5.80,6.60,6.20,6.40,6.60,5.60,6.20,6.20,20,2,18,7,7,7,7,7,7,6,5
238,0,6.60,5.60,5.60,6.20,6.20,3.80,7.00,5.86,25,2,18,7,7,7,7,5,5,7,6
239,0,4.40,3.60,4.40,4.80,3.40,2.40,5.20,4.03,20,2,15,7,7,7,7,4,3,5,4
240,0,6.20,6.60,6.80,7.00,6.40,5.40,7.00,6.49,25,2,12,7,7,7,7,6,4,7,5
243,0,7.00,6.20,7.00,6.20,6.60,6.40,6.80,6.60,37,2,16,7,7,7,7,4,4,2,5
244,0,6.60,7.00,7.00,7.00,5.80,4.20,3.00,5.80,33,1,11,7,7,7,7,4,4,4,4
